key,name,max_return,mean_return,final_return,noisy_tv_visits,noisy_tv_occupancy_pct,first_key_step,first_door_step,mean_episode_length,mean_cos_sim,mean_penalty_ratio
b50_tau98,"ES-RND (K=50, Tau=0.98)",1.0,0.9616820524219897,1.0,23769,4.7565,328,1184,38.27090352220521,0.9342175399117385,0.6842161084784836
b50_tau95,"ES-RND (K=50, Tau=0.95)",1.0,0.9741744872010393,1.0,19121,3.8264,328,1184,34.74459506430309,0.9276772521747053,0.8762867411629098
b50_tau90,"ES-RND (K=50, Tau=0.90)",1.0,0.9852067224302398,1.0,10012,2.0036,328,1184,31.940060067735956,0.9221210259736419,0.8979572233606558
b50_tau85,"ES-RND (K=50, Tau=0.85)",1.0,0.9513204076244727,1.0,20755,4.1534,328,1184,41.76867792077553,0.9383730325864206,0.9197717885502049
b50_tau80,"ES-RND (K=50, Tau=0.80)",1.0,0.9519206625366946,1.0,33188,6.6414,328,1184,41.82793539208302,0.9388268151953049,0.9231717469262295
