key,name,max_return,mean_return,final_return,noisy_tv_visits,noisy_tv_occupancy_pct,first_key_step,first_door_step,mean_episode_length,mean_cos_sim,mean_penalty_ratio
k20,"ES-RND (K=20, Tau=0.95)",1.0,0.9300518133037504,1.0,42617,8.5283,328,1184,47.08327837965144,0.9334673278551877,0.8531314036885246
k50,"ES-RND (K=50, Tau=0.95)",1.0,0.9741744872010393,1.0,19121,3.8264,328,1184,34.74459506430309,0.9276772521747053,0.8762867411629098
k80,"ES-RND (K=80, Tau=0.95)",1.0,0.9721781176963378,1.0,22687,4.54,328,1184,36.07484122401848,0.9310418300429163,0.8812095767161885
k100,"ES-RND (K=100, Tau=0.95)",1.0,0.9571552677255091,1.0,29997,6.0029,328,1184,39.474727531195704,0.9370833791981568,0.8850738025102459
k150,"ES-RND (K=150, Tau=0.95)",0.75,0.03626330310804054,0.0,28738,5.7509,328,1184,196.88332676389436,0.9919751216183926,0.9813732710040983
k200,"ES-RND (K=200, Tau=0.95)",1.0,0.953474767951844,1.0,24035,4.8098,328,1184,38.98276265501911,0.9367897409444044,0.8839771708504098
k500,"ES-RND (K=500, Tau=0.95)",1.0,0.953474767951844,1.0,24035,4.8098,328,1184,38.98276265501911,0.9367897409444044,0.8839771708504098
